Zipcode,Deliveries,Failed,Area,x_centroid,y_centroid,Dist,Price
3545,330,41,35.76207402,5.0941644,50.9501648,,
3500,2.220,193,50.6687218,5.3437734,50.9268684,,
3501,9,1,1.077112466,5.3527894,50.8798218,,
3510,177,8,11.47359496,5.2418375,50.9484444,,
3511,474,37,25.84670857,5.2950845,50.9567261,,
3512,136,3,12.02803171,5.2480321,50.9173355,,
3540,453,55,43.03356244,5.1778135,50.937355,,
3970,276,31,13.00662774,5.2658963,51.1209106,,
3971,125,8,9.541390672,5.2294765,51.1126633,,
3560,590,65,59.41885816,5.1833134,50.9953194,,
3850,170,12,22.52137741,5.2049184,50.8795319,,
3660,376,37,25.16502498,5.5713272,51.0403404,,
3800,966,122,86.88292478,5.2164459,50.8114929,,
3803,57,7,7.260612667,5.1516647,50.8334618,,
3806,50,11,10.31911367,5.1351609,50.7791939,,
3980,658,16,50.17393025,5.0695858,51.054821,,
3520,792,48,32.70458288,5.3765903,50.9918747,,
3690,223,10,31.98211537,5.5753703,50.9327011,,
3945,383,21,30.88183011,5.1608481,51.1002197,,
3550,1.078,22,44.36428837,5.289227,51.019825,,
3950,424,32,55.25765994,5.5640244,51.1869736,,
3960,500,28,64.93507925,5.6324892,51.1418343,,
3640,438,22,54.58678025,5.7602034,51.1530037,,
3920,1.100,136,93.50683951,5.3021317,51.2256393,,
3680,796,50,76.84668084,5.7150998,51.0879517,,
3910,564,71,42.43367809,5.4595342,51.2288399,,
3900,536,96,34.50592396,5.3936219,51.2002792,,
3990,502,35,82.58419338,5.4615307,51.1283569,,
3930,492,56,39.49461696,5.5073476,51.2601395,,
3940,210,22,16.74351615,5.3415451,51.117878,,
3941,176,16,40.49011019,5.3507566,51.1568375,,
3530,949,12,73.78904753,5.4084063,51.0452652,,
3670,402,28,82.64107856,5.5521569,51.0843849,,
3650,679,42,55.69107193,5.7121649,51.0360184,,
3570,423,28,27.48736413,5.2904177,50.8783493,,
3740,916,45,65.52457474,5.5324502,50.8721237,,
3742,25,0,2.099343717,5.5328927,50.8527603,,
3746,17,0,3.995457441,5.5552998,50.8824768,,
3840,248,14,45.95098314,5.3408308,50.8047028,,
3870,158,10,45.7754591,5.3123908,50.7536354,,
3717,0,0,0,5.4251018,50.7260704,,
3730,338,23,27.68430854,5.4744701,50.8453522,,
3732,21,0,2.427878663,5.4489503,50.8420525,,
3720,117,13,10.84589601,5.3782024,50.8660278,,
3721,54,9,6.36054033,5.4309521,50.8677559,,
3722,16,4,4.0969529,5.4093709,50.855648,,
3723,25,3,3.53004837,5.3990159,50.8428307,,
3724,72,4,9.182366371,5.4223733,50.830246,,
3620,726,59,36.45412239,5.6380968,50.888916,,
3621,166,12,15.16217163,5.6621475,50.9284897,,
3770,515,14,54.19839298,5.5921259,50.8053665,,
3700,1.004,105,74.21877482,5.4645982,50.7717743,,
3830,203,11,19.59450266,5.3326297,50.8430939,,
3831,1,0,1.303276777,5.3329344,50.8270454,,
3832,22,3,5.915262371,5.2907023,50.8446121,,
3630,894,47,50.92430693,5.6700015,50.9735374,,
3631,97,5,8.007179767,5.7257943,50.9401665,,
3790,34,1,15.93324551,5.8081756,50.7438889,,
3791,5,2,8.647414297,5.8833265,50.7297745,,
3792,2,0,0.168139651,5.8256907,50.7265282,,
3793,5,0,5.269633234,5.872344,50.7523499,,
3798,21,1,13.36592747,5.7724504,50.7604599,,
1070,1.770,202,17.52280439,4.2929349,50.828968,,
1160,1.225,90,7.444624463,4.4385772,50.8100548,,
1082,418,107,2.784550544,4.29388,50.8646698,,
1000,3.017,347,7.388386071,4.355958,50.8542366,,
1020,839,29,9.49618697,4.3507161,50.8872185,,
1120,354,25,4.523089595,4.3910861,50.8993607,,
1130,223,22,6.110108912,4.413393,50.8897972,,
1140,938,135,4.912652692,4.4084854,50.8699379,,
1190,1.101,197,5.725300147,4.3241811,50.8139572,,
1083,306,19,1.934758406,4.3095179,50.8743553,,
1090,719,22,4.883178607,4.3213191,50.881794,,
1081,254,14,0.999186337,4.3240538,50.8631325,,
1080,1.102,295,5.124214642,4.3186402,50.8553085,,
1060,1.536,225,2.283737892,4.3446851,50.8294525,,
1210,495,49,1.155019097,4.3694925,50.8537712,,
1030,2.474,416,7.535957439,4.3862801,50.8618202,,
1180,2.620,533,17.39334445,4.3614197,50.7897758,,
1170,999,67,5.062426176,4.4233918,50.7929306,,
1200,1.999,171,7.291627284,4.4316545,50.8477364,,
1201,0,0,0,4.4316068,50.8568535,,
1150,1.703,96,7.730969079,4.4429126,50.8311539,,
1320,0,0,0,4.7646656,50.7760506,,
1420,0,0,0,4.3583817,50.6923027,,
1421,0,0,0,4.3399258,50.6574821,,
1428,0,0,0,4.3662167,50.6410675,,
1440,0,0,0,4.2843995,50.6793976,,
1325,0,0,0,4.6905713,50.6871033,,
1490,0,0,0,4.5627394,50.6264915,,
1470,0,0,0,4.4917483,50.6070023,,
1471,0,0,0,4.4335685,50.594696,,
1472,0,0,0,4.4129786,50.6249046,,
1473,0,0,0,4.4463787,50.6350937,,
1474,0,0,0,4.4708581,50.6271057,,
1476,0,0,0,4.4103274,50.575779,,
1390,0,0,0,4.6880784,50.748333,,
1315,0,0,0,4.7815189,50.6990585,,
1460,0,0,0,4.2482343,50.6407776,,
1461,0,0,0,4.2999444,50.6497192,,
1370,0,0,0,4.8603325,50.7283936,,
1310,0,0,0,4.4647064,50.73629,,
1435,0,0,0,4.623342,50.6372223,,
1400,0,0,0,4.3239694,50.5915337,,
1401,0,0,0,4.3580875,50.6175728,,
1402,0,0,0,4.3788862,50.5899391,,
1404,0,0,0,4.2629199,50.6040802,,
1360,0,0,0,4.7897415,50.6342697,,
1330,0,0,0,4.5280232,50.7122307,,
1331,0,0,0,4.5465631,50.7354279,,
1332,0,0,0,4.5003901,50.7225723,,
1480,0,0,0,4.1904831,50.6900864,,
1495,0,0,0,4.5268483,50.5625114,,
1410,0,0,0,4.4034314,50.709938,,
1414,0,0,0,4.382987,50.7180672,,
1300,0,0,0,4.5966845,50.7153511,,
1301,0,0,0,4.5814252,50.7169189,,
1450,0,0,0,4.6234355,50.5893555,,
1357,0,0,0,4.9828362,50.7483063,,
1380,0,0,0,4.4616346,50.6823082,,
1350,0,0,0,4.963336,50.6899452,,
1340,0,0,0,4.5661383,50.6713448,,
1341,0,0,0,4.5341396,50.6605682,,
1342,0,0,0,4.5582924,50.6837578,,
1348,0,0,0,4.6181269,50.6712189,,
1367,0,0,0,4.885993,50.6567764,,
1430,0,0,0,4.1302276,50.6714668,,
1457,0,0,0,4.69732,50.6311607,,
4430,0,0,0,5.5283036,50.6582031,,
4431,0,0,0,5.4965591,50.6661949,,
4432,0,0,0,5.5008769,50.6925125,,
4340,0,0,0,5.4551597,50.6938324,,
4342,0,0,0,5.45577,50.6835022,,
4920,0,0,0,5.701592,50.4574814,,
4690,0,0,0,5.6101804,50.765625,,
4610,0,0,0,5.6617599,50.628521,,
4050,0,0,0,5.6444259,50.5852127,,
4051,0,0,0,5.6341424,50.6019592,,
4052,0,0,0,5.6376939,50.5618248,,
4053,0,0,0,5.6067781,50.5906143,,
4170,0,0,0,5.5817914,50.4756737,,
4171,0,0,0,5.5738335,50.5025826,,
4606,0,0,0,5.7504015,50.695343,,
4607,0,0,0,5.7365065,50.724102,,
4608,0,0,0,5.780839,50.7229767,,
4130,0,0,0,5.5688672,50.5376587,,
4620,0,0,0,5.683074,50.6182137,,
4621,0,0,0,5.6984048,50.6289825,,
4623,0,0,0,5.6864657,50.6012611,,
4626,0,0,0,5.6653581,50.6042175,,
4040,0,0,0,5.6244678,50.6790543,,
4041,0,0,0,5.5883937,50.681736,,
4042,0,0,0,5.5710831,50.6918144,,
4450,0,0,0,5.5414019,50.7160454,,
4451,0,0,0,5.5481749,50.6892891,,
4452,0,0,0,5.5108032,50.7275467,,
4453,0,0,0,5.5469184,50.7104759,,
4458,0,0,0,5.5771589,50.7135086,,
4000,0,0,0,5.5678353,50.6471748,,
4020,0,0,0,5.6256409,50.6460342,,
4030,0,0,0,5.6117778,50.6260834,,
4031,0,0,0,5.5774074,50.5917892,,
4032,0,0,0,5.6235676,50.6140366,,
4680,0,0,0,5.6230083,50.7111549,,
4681,0,0,0,5.6751771,50.7160797,,
4682,0,0,0,5.6230822,50.7331047,,
4683,0,0,0,5.6542945,50.6964264,,
4684,0,0,0,5.6590314,50.7357445,,
4420,0,0,0,5.5263906,50.6321411,,
4100,0,0,0,5.5121827,50.5827942,,
4101,0,0,0,5.4978623,50.6181564,,
4102,0,0,0,5.5465045,50.5949097,,
4630,0,0,0,5.7346063,50.6171951,,
4631,0,0,0,5.7033806,50.646225,,
4632,0,0,0,5.7220931,50.6532402,,
4633,0,0,0,5.7453127,50.643589,,
4140,0,0,0,5.6456099,50.515831,,
4141,0,0,0,5.7171469,50.5274391,,
4600,0,0,0,5.6891198,50.7534447,,
4601,0,0,0,5.688159,50.7022133,,
4602,0,0,0,5.6758599,50.6837883,,
4460,0,0,0,5.4392891,50.6376762,,
